SKU,Status,Current Name,Shape,Classes,Containers,Description
1472G2D-2USB-5-N,Published,Honeywell Voyager 1472g XP Omni-Directional 2D USB Kit (USB and Bluetooth) #1472G2D-2USB-5-N,Non-Label,,,"<h3>Honeywell Voyager 1472g Scanner</h3>
\nThe Voyager 1472 cordless scanner can read both 1D and 2D barcodes, with an enhanced ability to read damaged or poor-quality barcodes. Providing an extended scan distance and a longer Bluetooth range, this barcode scanner will help enhance productivity, perfect for workflows that include 1D and 2D barcode reading and require a more robust and reliable solution.
\n
\n<strong>Benefits:</strong>
\n<ul>
\n 	<li>Scans a variety of 1D and 2D barcode types</li>
\n 	<li>Ability to read traditional barcodes and digital screens</li>
\n 	<li>Cordless scanner with an extended range for ease-of-use</li>
\n 	<li>Robust design is engineered to withstand multiple drops and tumbles</li>
\n</ul>
\n<strong>Color:</strong> Black
\n
\n<strong>Apple iOS Certified:</strong> Yes
\n
\n<strong>Batch Capabilities</strong>: Batch/BT
\n
\n<strong>Cordless/Tethered:</strong> Cordless
\n
\n<strong>Power Device:</strong> Barcode scanner charging stand
\n
\n<strong>Radio Range - Imperial:</strong> 1-30 ft.
\n
\n<strong>Radio Range - Metric:</strong> 0-10 meters
\n
\n<strong>Radio Type:</strong> Bluetooth
\n
\n<strong>Scan Technology:</strong> Area Imager
\n
\n<strong>Scanner Display:</strong> none
\n
\n<strong>Scanners per Base:</strong> 7
\n
\n<strong>Scanning Range:</strong> Standard
\n
\n<strong>DL Parsing:</strong> Yes, with additional license purchase
\n
\n<strong>Drop Spec:</strong> 1.5m (5ft) drop to concrete
\n
\n<strong>Environmental:</strong> none
\n
\n<strong>IP Rating:</strong> IP42
\n
\n<strong>Number of Keys:</strong> 0
\n
\n<strong>Presentation Mode:</strong> Yes
\n
\n<strong>Programmable Keys:</strong> No
\n
\n<a href=""https://sps.honeywell.com/us/en/products/productivity/barcode-scanners/general-purpose-handheld/voyager-xp-1472g-general-duty-scanner"">For More Specs, Click Here.</a>"
A4AKA-3WH,Published,"Autoclave-Resistant Labels for Laser Printers (A4 Size) - 2.5"" x 1"" #A4AKA-3WH",Rectangle,"A4AKA,AKA","Tubes & Vials,Cryo Boxes,Sterilization Material,Syringes,Tubes & Vials,Cryo Boxes,Sterilization Material,Syringes","<h3>A4 Size Permanent Steri-LazrTAG&#x2122; - Autoclave-Resistant Labels for Laser Printers</h3>
\n&nbsp;
\n<ul>
\n 	<li>Strong permanent adhesive ensures labels adhere to glass, metal, and plastic surfaces</li>
\n 	<li>Designed for use in steam autoclaves, dry heat ovens and with gamma irradiators (up to 50 KGy), and ethylene oxide sterilizers</li>
\n 	<li>Compatible with all major brands of desktop laser printers</li>
\n</ul>
\nPermanent laser printable labels, ideal for glassware, surgical instruments, metal and plastic surfaces, trays, blister packs, and other items intended for use in steam autoclaves, ovens, and gamma irradiators. Our autoclave laser labels are durable, inert, weather &amp; water-proof, alcohol-resistant, and have been tested to endure up to 20 autoclave cycles (at 121°C/250°F, 16.5 psi for 20 minutes). Compatible with all major brands of desktop laser printers."
A4AKA-8WH,Published,"Autoclave-Resistant Labels for Laser Printers (A4 Size) - 1.77"" X 0.787""  #A4AKA-8WH",Rectangle,"A4AKA,AKA","Tubes & Vials,Cryo Boxes,Sterilization Material,Syringes,Tubes & Vials,Cryo Boxes,Sterilization Material,Syringes","<h3>A4 Size Permanent Steri-LazrTAG™ - Autoclave-Resistant Labels for Laser Printers</h3>
\n&nbsp;
\n<ul>
\n 	<li>Strong permanent adhesive ensures labels adhere to glass, metal, and plastic surfaces</li>
\n 	<li>Designed for use in steam autoclaves, dry heat ovens and with gamma irradiators (up to 50 KGy), and ethylene oxide sterilizers</li>
\n 	<li>Compatible with all major brands of desktop laser printers</li>
\n</ul>
\nPermanent laser printable labels, ideal for glassware, surgical instruments, metal and plastic surfaces, trays, blister packs, and other items intended for use in steam autoclaves, ovens, and gamma irradiators. Our autoclave laser labels are durable, inert, weather &amp; water-proof, alcohol-resistant, and have been tested to endure up to 20 autoclave cycles (at 121°C/250°F, 16.5 psi for 20 minutes). Compatible with all major brands of desktop laser printers."
A4AKA-23WH,Published,"Autoclave-Resistant Labels for Laser Printers (A4 Size) - 1.24"" x 0.512"" #A4AKA-23",Rectangle,"A4AKA,AKA","Tubes & Vials,Cryo Boxes,Sterilization Material,Syringes,Tubes & Vials,Cryo Boxes,Sterilization Material,Syringes","<h3>A4 Size Permanent Steri-LazrTAG&#x2122; - Autoclave-Resistant Labels for Laser Printers</h3>
\n&nbsp;
\n<ul>
\n 	<li>Strong permanent adhesive ensures labels adhere to glass, metal, and plastic surfaces</li>
\n 	<li>Designed for use in steam autoclaves, dry heat ovens and with gamma irradiators (up to 50 KGy), and ethylene oxide sterilizers</li>
\n 	<li>Compatible with all major brands of desktop laser printers</li>
\n</ul>
\nPermanent laser printable labels, ideal for glassware, surgical instruments, metal and plastic surfaces, trays, blister packs, and other items intended for use in steam autoclaves, ovens, and gamma irradiators. Our autoclave laser labels are durable, inert, weather &amp; water-proof, alcohol-resistant, and have been tested to endure up to 20 autoclave cycles (at 121°C/250°F, 16.5 psi for 20 minutes). Compatible with all major brands of desktop laser printers."
A4ALT-28WH,Published,"Autoclave Labels - 8.27"" x 11.7"" #A4ALT-28WH",Rectangle,LT,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Permanent Autoclave Labels for Laser Printers</h3>\n<br/>\n<ul>\n<li>Strong permanent adhesive ensures labels adhere to glass, metal, and plastic surfaces</li>\n<li>Designed for use in steam autoclaves and dry heat ovens</li>\n<li>Compatible with all major brands of desktop laser printers</li>\n</ul>\n<br/>\nPermanent laser printable labels, ideal for glassware, metal, and plastic surfaces, such as blister packs and containers intended for use in steam autoclaves, and ovens. Our autoclave laser labels are durable, inert, weather & water-proof, and have been tested to endure standard autoclave cycles. Compatible with all major brands of desktop laser printers."
A4CIJSA-8WH,Published,"Cryogenic Labels for Inkjet Printers – 1.77"" × 0.787"" #A4CIJSA-8WH",,CIJ,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Cryo-JetTAG™ – Cryogenic Labels for Inkjet Printers</h3>
\nCryo-JetTAG™ inkjet printable cryogenic labels are ideal for identifying cryo vials, tubes, plastic bags, as well as cardboard and polycarbonate freezer boxes destinated for cryo storage in liquid nitrogen (-196°C/-321°F) and lab freezers (-80°C/-112°F) with eye-catching color logos, graphics, images, and data. Moreover, these durable labels also resist dry heat and standard steam autoclave sterilization cycles, perfect for a variety of uses in scientific laboratories.
\n
\nThe obtained printout offers an impressive resistance to harsh chemicals, such as alcohol, acetone, and xylene, as well as to wiping and rubbing with alcohol sanitizing wipes.
\n
\nSheet format Cryo-JetTAG labels can be printed with most standard desktop inkjet printers; They can also be written on with ballpoint pens, cryogenic markers, and ink stamped without smudging.
\n
\n<strong>Benefits:</strong>
\n<ul>
\n 	<li>Resist extreme cryogenic and deep-freeze temperatures (-196°C in a liquid phase and vapor phase Liquid Nitrogen and -80°C)</li>
\n 	<li>Print eye-catching color logos, graphics, images, and data</li>
\n 	<li>Resist wiping with ethanol and surface sanitizing wipes</li>
\n 	<li>Require zero cure time, can be immersed in liquid nitrogen directly following application)</li>
\n</ul>"
A4CIJSA-12WH,Published,"Cryogenic Labels for Inkjet Printers – 0.945"" × 0.512"" #A4CIJSA-12WH",,CIJ,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Cryo-JetTAG™ – Cryogenic Labels for Inkjet Printers</h3>
\nCryo-JetTAG™ inkjet printable cryogenic labels are ideal for identifying cryo vials, tubes, plastic bags, as well as cardboard and polycarbonate freezer boxes destinated for cryo storage in liquid nitrogen (-196°C/-321°F) and lab freezers (-80°C/-112°F) with eye-catching color logos, graphics, images, and data. Moreover, these durable labels also resist dry heat and standard steam autoclave sterilization cycles, perfect for a variety of uses in scientific laboratories.
\n
\nThe obtained printout offers an impressive resistance to harsh chemicals, such as alcohol, acetone, and xylene, as well as to wiping and rubbing with alcohol sanitizing wipes.
\n
\nSheet format Cryo-JetTAG labels can be printed with most standard desktop inkjet printers; They can also be written on with ballpoint pens, cryogenic markers, and ink stamped without smudging.
\n
\n<strong>Benefits:</strong>
\n<ul>
\n 	<li>Resist extreme cryogenic and deep-freeze temperatures (-196°C in a liquid phase and vapor phase Liquid Nitrogen and -80°C)</li>
\n 	<li>Print eye-catching color logos, graphics, images, and data</li>
\n 	<li>Resist wiping with ethanol and surface sanitizing wipes</li>
\n 	<li>Require zero cure time, can be immersed in liquid nitrogen directly following application)</li>
\n</ul>"
A4CIJSA-23WH,Published,"Cryogenic Labels for Inkjet Printers – 1.24"" × 0.512"" #A4CIJSA-23WH",,CIJ,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Cryo-JetTAG™ – Cryogenic Labels for Inkjet Printers</h3>
\nCryo-JetTAG™ inkjet printable cryogenic labels are ideal for identifying cryo vials, tubes, plastic bags, as well as cardboard and polycarbonate freezer boxes destinated for cryo storage in liquid nitrogen (-196°C/-321°F) and lab freezers (-80°C/-112°F) with eye-catching color logos, graphics, images, and data. Moreover, these durable labels also resist dry heat and standard steam autoclave sterilization cycles, perfect for a variety of uses in scientific laboratories.
\n
\nThe obtained printout offers an impressive resistance to harsh chemicals, such as alcohol, acetone, and xylene, as well as to wiping and rubbing with alcohol sanitizing wipes.
\n
\nSheet format Cryo-JetTAG labels can be printed with most standard desktop inkjet printers; They can also be written on with ballpoint pens, cryogenic markers, and ink stamped without smudging.
\n
\n<strong>Benefits:</strong>
\n<ul>
\n 	<li>Resist extreme cryogenic and deep-freeze temperatures (-196°C in a liquid phase and vapor phase Liquid Nitrogen and -80°C)</li>
\n 	<li>Print eye-catching color logos, graphics, images, and data</li>
\n 	<li>Resist wiping with ethanol and surface sanitizing wipes</li>
\n 	<li>Require zero cure time, can be immersed in liquid nitrogen directly following application)</li>
\n</ul>"
A4CIJSA-32WH,Published,"Cryogenic Labels for Inkjet Printers – 0.95"" × 0.75"" #A4CIJSA-32WH",,CIJ,"Tubes & Vials,Cryo Boxes,Syringes","<h3>Cryo-JetTAG™ – Cryogenic Labels for Inkjet Printers</h3>
\nCryo-JetTAG™ inkjet printable cryogenic labels are ideal for identifying cryo vials, tubes, plastic bags, as well as cardboard and polycarbonate freezer boxes destinated for cryo storage in liquid nitrogen (-196°C/-321°F) and lab freezers (-80°C/-112°F) with eye-catching color logos, graphics, images, and data. Moreover, these durable labels also resist dry heat and standard steam autoclave sterilization cycles, perfect for a variety of uses in scientific laboratories.
\n
\nThe obtained printout offers an impressive resistance to harsh chemicals, such as alcohol, acetone, and xylene, as well as to wiping and rubbing with alcohol sanitizing wipes.
\n
\nSheet format Cryo-JetTAG labels can be printed with most standard desktop inkjet printers; They can also be written on with ballpoint pens, cryogenic markers, and ink stamped without smudging.
\n
\n<strong>Benefits:</strong>
\n<ul>
\n 	<li>Resist extreme cryogenic and deep-freeze temperatures (-196°C in a liquid phase and vapor phase Liquid Nitrogen and -80°C)</li>
\n 	<li>Print eye-catching color logos, graphics, images, and data</li>
\n 	<li>Resist wiping with ethanol and surface sanitizing wipes</li>
\n 	<li>Require zero cure time, can be immersed in liquid nitrogen directly following application)</li>
\n</ul>"
A4CL-3T1-WH,Published,"Permanent Cryo Laser Labels (A4 Size) - 2.5"" X 1"" #A4CL-3",Rectangle,"A4CL,CL","Tubes & Vials,Cryo Boxes,Syringes,Tubes & Vials,Cryo Boxes,Syringes","<h3>A4 Size Permanent Cryo-LazrTAG&trade; - Cryogenic Labels for Laser Printers </h3>\n<br/>\n<ul>\n<li>Provided in European A4 sheet format</li>\n<li>Permanent adhesion, especially on curved surfaces (vials, microtubes, etc.)</li>\n<li>Withstand extreme cryogenic temperatures (-196&deg;C in liquid phase and vapor phase Liquid Nitrogen)</li>\n<li>Printable by all major desktop laser printers</li>\n</ul>\n<br/>\nCryogenic labels provided in A4 sheet format for printing with desktop laser printers. These thermoplastic waterproof labels have a unique cryo adhesive specifically designed to permanently adhere to vials, tubes, freezer boxes, as well as polycarbonate cryo boxes and other containers that will undergo long-term deep-freeze storage or shipment on dry ice. The cryogenic tags are wear and tear proof; do not jam printers; resistant to UV and gamma irradiation."
